Period,Posts,Likes,Comments,Likes per Post,Comments per Post,Engaged Users
September 2020,12,4493,447,374.41666666666674,37.25,1568
October 2020,13,4275,456,328.84615384615387,35.07692307692308,1647
November 2020,12,4036,367,336.3333333333333,30.58333333333333,1526
December 2020,9,2769,338,307.6666666666667,37.555555555555564,1200
January 2021,7,2676,339,382.28571428571433,48.42857142857143,1210
February 2021,6,3055,219,509.16666666666674,36.5,1780
March 2021,2,368,52,184.0,26.0,288
